,0,1,2
0,排名,学校名称,国家/地区
1,1,麻省理工学院,美国
2,2,斯坦福大学,美国
3,3,哈佛大学,美国
4,4,牛津大学,英国
5,5,加州理工学院,美国
6,6,苏黎世联邦理工学院,瑞士
7,7,剑桥大学,英国
8,8,伦敦大学学院,英国
9,9,帝国理工学院,英国
10,10,芝加哥大学,美国
11,11,南洋理工大学,新加坡
12,11,新加坡国立大学,新加坡
13,13,普林斯顿大学,美国
14,14,康奈尔大学,美国
15,15,宾夕法尼亚大学,美国
16,16,清华大学,中国
17,17,耶鲁大学,美国
18,18,哥伦比亚大学,美国
19,18,洛桑联邦理工学院,瑞士
20,20,爱丁堡大学,英国
21,21,密歇根大学安娜堡分校,美国
22,22,北京大学,中国
23,22,东京大学,日本
24,24,约翰霍普金斯大学,美国
25,25,杜克大学,美国
26,25,香港大学,中国香港
27,27,曼彻斯特大学,英国
28,28,加州大学伯克利分校,美国
29,29,澳洲国立大学,澳大利亚
30,29,多伦多大学,加拿大
31,31,西北大学,美国
32,32,香港科技大学,中国香港
33,33,伦敦大学国王学院,英国
34,33,京都大学,日本
35,35,麦吉尔大学,加拿大
36,35,加州大学洛杉矶分校,美国
37,37,首尔国立大学,韩国
38,38,墨尔本大学,澳大利亚
39,39,纽约大学,美国
40,40,复旦大学,中国
41,41,韩国高等科技学院,韩国
42,42,悉尼大学,澳大利亚
43,43,新南威尔士大学,澳大利亚
44,44,伦敦政治经济学院,英国
45,45,加州大学圣地亚哥分校,美国
46,46,香港中文大学,中国香港
47,47,昆士兰大学,澳大利亚
48,48,卡耐基梅隆大学,美国
49,49,布里斯托大学,英国
50,50,代尔夫特理工大学,荷兰
51,51,英属哥伦比亚大学,加拿大
52,52,香港城市大学,中国香港
53,53,巴黎第九大学,法国
54,54,浙江大学,中国
55,55,慕尼黑工业大学,德国
56,56,威斯康辛大学麦迪逊分校,美国
57,57,布朗大学,美国
58,58,莫纳什大学,澳大利亚
59,58,东京工业大学,日本
60,60,巴黎高等理工学院,法国
61,60,上海交通大学,中国
62,62,华威大学,英国
63,63,慕尼黑大学,德国
64,64,阿姆斯特丹大学,荷兰
65,65,德克萨斯大学奥斯汀分校,美国
66,66,海德堡大学,德国
67,67,格拉斯哥大学,英国
68,68,华盛顿大学,美国
69,69,国立台湾大学,中国台湾
70,70,马来亚大学,马来西亚
71,71,大阪大学,日本
72,72,佐治亚理工学院,美国
73,72,哥本哈根大学,丹麦
74,74,布宜诺斯艾利斯大学,阿根廷
75,75,伊利诺伊大学厄本那-香槟分校,美国
76,76,苏黎世大学,瑞士
77,77,索邦大学,法国
78,78,杜伦大学,英国
79,78,谢菲尔德大学,英国
80,80,鲁汶大学（荷语）,比利时
81,81,伯明翰大学,英国
82,82,东北大学（日本）,日本
83,83,高丽大学,韩国
84,84,莫斯科国立大学,俄国
85,85,莱斯大学,美国
86,86,西澳大学,澳大利亚
87,87,浦项科技大学,韩国
88,88,奥克兰大学,新西兰
89,89,中国科学技术大学,中国
90,90,北卡罗来纳大学教堂山分校,美国
91,91,香港理工大学,中国香港
92,92,隆德大学,瑞典
93,93,宾州州立大学公园分校,美国
94,93,利兹大学,英国
95,95,成均馆大学,韩国
96,96,诺丁汉大学,英国
97,97,南安普敦大学,英国
98,98,波士顿大学,美国
99,98,瑞典皇家理工学院,瑞典
100,100,圣安德鲁斯大学,英国
