日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2020-11-01,良,54,154,15,67,2,20,0.28,37
2020-11-02,优,42,98,6,44,2,16,0.23,40
2020-11-03,优,33,67,10,34,2,27,0.3,28
2020-11-04,良,63,246,37,77,3,57,0.68,8
2020-11-05,轻度污染,113,358,84,124,5,86,1.12,9
2020-11-06,轻度污染,114,361,74,136,3,70,0.91,24
2020-11-07,良,92,290,27,136,2,25,0.38,42
2020-11-08,优,36,52,11,40,2,27,0.32,30
2020-11-09,优,48,74,20,55,2,47,0.52,16
2020-11-10,良,63,134,36,73,3,58,0.73,11
2020-11-11,轻度污染,129,353,98,135,6,88,1.15,6
2020-11-12,轻度污染,127,346,89,113,4,69,0.97,26
2020-11-13,优,46,78,20,50,4,43,0.56,23
2020-11-14,良,70,209,46,82,3,63,0.86,4
2020-11-15,轻度污染,103,281,77,91,3,61,1.05,10
2020-11-16,轻度污染,135,327,103,114,5,69,1.53,4
2020-11-17,轻度污染,137,344,104,95,2,49,1.66,7
2020-11-18,良,60,317,45,18,2,29,0.99,21
2020-11-19,优,15,8,7,11,2,14,0.33,44
2020-11-20,优,22,23,9,20,2,21,0.32,44
2020-11-21,优,42,233,26,33,2,42,0.53,14
2020-11-22,优,15,13,7,13,2,11,0.26,45
2020-11-23,优,27,87,13,27,3,25,0.38,31
2020-11-24,优,45,173,29,47,3,46,0.61,13
2020-11-25,优,40,144,25,40,4,35,0.55,28
2020-11-26,优,38,136,19,39,4,44,0.63,17
2020-11-27,优,30,92,16,30,2,22,0.42,43
2020-11-28,优,25,38,11,24,2,22,0.34,38
2020-11-29,优,32,53,15,32,3,29,0.39,28
2020-11-30,优,31,38,16,32,3,28,0.38,31
