,投诉编号,投诉品牌,投诉车系,投诉车型,问题简述,典型问题,投诉时间,投诉状态
0,881756,上汽大众斯柯达,柯珞克,2018款 TSI280 豪华版 国VI,斯柯达柯珞克后备厢备胎槽积水严重,"H109,",2023-02-22,信息审核
1,881755,广汽丰田,雷凌,2022款 185T CVT 豪华版,广汽丰田雷凌等红绿灯时刹车失灵,"E29,",2023-02-22,信息审核
2,881753,上汽集团,名爵HS,2019款 30T 自动 两驱 Trophy超燃版 国VI,上汽名爵HS车机卡顿 无法OTA升级,"H134,O348,",2023-02-22,信息审核
3,881751,长安汽车,长安Lumin,2022款 210km 香甜款,长安Lumin行驶中熄火失去动力再次启动失败,"H343,",2023-02-22,厂家受理
4,881746,华晨宝马,宝马X3,2021款 xDrive28i M运动套装,华晨宝马X3车机ID7系统功能与宣传不符,"M279,",2023-02-22,信息审核
5,881744,英菲尼迪（进口）,英菲尼迪M系,2008款 M35 3.5 AT/MT 尊尚版,英菲尼迪M系仪表台皮革与骨架分离,"H176,",2023-02-22,信息审核
6,881740,长安汽车,奔奔E-Star,2022款 清心版 多彩款 磷酸铁锂,长安奔奔E-Star订车快一年了至今提不到车,"L312,",2023-02-22,厂家受理
7,881739,铃耀汽车,维特拉,2016款 1.4T 自动 四驱 领先型,铃耀汽车维特拉导致刹车变硬严重影响安全,"E29,E196,",2023-02-22,信息审核
8,881737,一汽丰田,凌放HARRIER,2022款 2.0L CVT 两驱 进取版,一汽丰田凌放HARRIER副驾驶车门内饰板异响,"H72,",2023-02-22,信息审核
9,881734,北汽新能源,北汽新能源EX,2018款 EX360 新尚版,北汽新能源EX召回升级后快充速度缓慢,"O348,",2023-02-22,信息审核
10,881730,比亚迪,元PLUS,2022款 510KM 旗舰型,比亚迪元PLUS实车没有倒车雷达与宣传不符,"M279,",2023-02-22,信息审核
11,881729,一汽奥迪,奥迪A4L,2022款 40 TFSI quattro RS套件燃速型,一汽奥迪A4L行驶中变速箱升挡异响,"B33,",2023-02-22,信息审核
12,881728,广汽本田,凌派,2019款 180Turbo CVT 舒适版 国V,广汽本田凌派无故删除赠送的机油保养券,"L313,",2023-02-22,信息审核
13,881725,上汽集团,名爵HS,2019款 30T 自动 两驱 Trophy超燃版 国VI,名爵HS车机系统卡顿无法升级希望厂家处理,"H134,O348,",2023-02-22,信息审核
14,881721,宝马（进口）,宝马6系GT,2020款 630i M运动套装,进口宝马6系GT虚假宣传ID7系统功能,"M279,",2023-02-22,信息审核
15,881718,铃耀汽车,维特拉,2016款 1.4T 手动 两驱 精英型,长安铃木维特拉行驶中刹车变硬偶尔失灵,"E196,E333,",2023-02-22,信息审核
16,881716,比亚迪,元PLUS,2022款 430KM 尊贵型,比亚迪元PLUS订车延期交付要求退订,"K309,",2023-02-22,信息审核
17,881713,北京现代,索纳塔,2013款 2.0L 领先版,北京现代索纳塔发动机拉缸存在质量问题,"A329,",2023-02-22,信息审核
18,881710,一汽红旗,红旗盛世,2007款 3.0L HQ300政府专用版,一汽红旗盛世仪表台开裂 车内异味大影响健康,"H185,H176,",2023-02-22,信息审核
19,881708,一汽奥迪,奥迪Q5L,2022款 40T 豪华动感型,一汽奥迪Q5L 1100-1200转时车身共振,"H268,",2023-02-22,信息审核
20,881707,铃耀汽车,维特拉,2016款 1.4T 自动 四驱 领先型,铃木维特拉刹车变硬踩不动存在安全隐患,"E196,E333,",2023-02-22,信息审核
21,881705,铃耀汽车,维特拉,2016款 1.4T 自动 四驱 领先型,铃木维特拉启动时刹车硬踩不动制动效果差,"E333,",2023-02-22,信息审核
22,881702,一汽丰田,锐志,2009款 2.5S 舒适版 新锐志 REIZ,一汽丰田锐志仪表台老化开裂出油反光,"H176,",2023-02-22,信息审核
23,881701,长安福特,翼虎,2017款 EcoBoost 180 两驱 虎跃型,长安福特翼虎发动机渗油希望厂家处理,"A12,",2023-02-22,厂家受理
24,881697,广汽丰田,广汽丰田bZ4X,2022款 长续航Pro,广汽丰田bZ4X低温续航里程虚标充电速度慢,"H340,H344,",2023-02-22,信息审核
25,881696,东风标致,标致408,2015款 1.2T 自动 荣耀版,东风标致408发动机烧机油 正时皮带掉渣,"A63,A191,A336,",2023-02-22,信息审核
26,881695,奇瑞汽车,瑞虎7 PLUS,2021款 鲲鹏版 1.6TGDI DCT 尊贵型+,奇瑞瑞虎7 PLUS转向辅助灯故障厂家不处理,"H71,",2023-02-22,信息审核
27,881694,广汽三菱,欧蓝德,2019款 2.0L 两驱 畅享版 7座 国VI,广汽三菱欧蓝德空调不制冷半轴渗油,"G51,H101,",2023-02-22,信息审核
28,881693,广汽丰田,雷凌,2022款 双擎 1.8H E-CVT 进取版,广汽丰田雷凌前后保险杠发黄有色差,"H201,",2023-02-22,信息审核
29,881691,一汽奔腾,奔腾T77,2019款 230 TID 自动 豪华型 国VI,一汽奔腾T77尾部流线灯罩起皮脱落,"H220,",2023-02-22,厂家受理
